Nota_debito,Cliente,Prob_Mora,Zona_Riesgo
2847160,2250041,0.2951,BAJO
2847161,2250041,0.2951,BAJO
2847162,2250041,0.2951,BAJO
2847163,2250041,0.2951,BAJO
2847164,2250041,0.2951,BAJO
2847354,2250037,0.2656,BAJO
2847355,2250037,0.2656,BAJO
2847356,2250037,0.2656,BAJO
2847357,2250037,0.2656,BAJO
2847358,2250037,0.2656,BAJO
2848998,2250031,0.4864,MEDIO
2848999,2250031,0.4864,MEDIO
2849000,2250031,0.4864,MEDIO
2849001,2250031,0.4864,MEDIO
2849002,2250031,0.4864,MEDIO
2849185,2250236,0.4864,MEDIO
2849186,2250236,0.4864,MEDIO
2849187,2250236,0.4864,MEDIO
2849188,2250236,0.4864,MEDIO
2849189,2250236,0.4864,MEDIO
2849423,2250124,0.2423,BAJO
2849424,2250124,0.2423,BAJO
2849425,2250124,0.2423,BAJO
2849426,2250124,0.2423,BAJO
2849427,2250124,0.2423,BAJO
2921642,2249909,0.3021,MEDIO
2921643,2249909,0.3021,MEDIO
2921644,2249909,0.3021,MEDIO
2921645,2249909,0.3021,MEDIO
2921646,2249909,0.3021,MEDIO
2921648,2249909,0.3021,MEDIO
2921649,2249909,0.3021,MEDIO
2921650,2249909,0.3021,MEDIO
2921651,2249909,0.3021,MEDIO
2921652,2249909,0.3021,MEDIO
2921654,2249909,0.3047,MEDIO
2921655,2249909,0.3047,MEDIO
2921656,2249909,0.3047,MEDIO
2921657,2249909,0.3047,MEDIO
2921658,2249909,0.3047,MEDIO
2861295,2250588,0.1216,BAJO
2861296,2250588,0.1216,BAJO
2861297,2250588,0.1216,BAJO
2861298,2250588,0.1216,BAJO
2861299,2250588,0.1216,BAJO
2861301,2251009,0.3072,MEDIO
2861302,2251009,0.3072,MEDIO
2861303,2251009,0.3072,MEDIO
2861304,2251009,0.3072,MEDIO
2861305,2251009,0.3072,MEDIO
2860847,2250655,0.2155,BAJO
2860848,2250655,0.2155,BAJO
2860849,2250655,0.2155,BAJO
2860850,2250655,0.2155,BAJO
2860851,2250655,0.2155,BAJO
2860008,2250729,0.2237,BAJO
2860009,2250729,0.2237,BAJO
2860010,2250729,0.2237,BAJO
2860011,2250729,0.2237,BAJO
2860012,2250729,0.2237,BAJO
2861705,2250658,0.2845,BAJO
2861706,2250658,0.2845,BAJO
2861289,2251043,0.1339,BAJO
2861290,2251043,0.1339,BAJO
2861291,2251043,0.1339,BAJO
2861292,2251043,0.1339,BAJO
2861293,2251043,0.1339,BAJO
2861613,2250578,0.143,BAJO
2861614,2250578,0.143,BAJO
2861615,2250578,0.143,BAJO
2861616,2250578,0.143,BAJO
2861617,2250578,0.143,BAJO
2861619,2251044,0.148,BAJO
2861620,2251044,0.148,BAJO
2861621,2251044,0.148,BAJO
2861622,2251044,0.148,BAJO
2861623,2251044,0.148,BAJO
2861626,2250862,0.1216,BAJO
2861627,2250862,0.1216,BAJO
2861628,2250862,0.1216,BAJO
2861629,2250862,0.1216,BAJO
2861630,2250862,0.1216,BAJO
2861632,2251360,0.1152,BAJO
2861633,2251360,0.1152,BAJO
2861634,2251360,0.1152,BAJO
2861635,2251360,0.1152,BAJO
2861636,2251360,0.1152,BAJO
2861808,2250868,0.245,BAJO
2861809,2250868,0.245,BAJO
